Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
03/01/11,367.95,86554.18212,,,944.80,,370.69,372.20,366.87
03/02/11,364.86,77308.76089,-3.10,-0.84,936.85,-0.84,364.67,365.97,363.56
03/03/11,367.60,83604.31493,2.74,0.75,943.88,-0.10,366.35,369.05,365.00
03/04/11,367.95,76023.69941,0.36,0.10,944.79,0.00,368.59,370.73,366.67
03/07/11,366.08,65694.75847,-1.87,-0.51,939.99,-0.51,366.25,370.23,365.54
03/08/11,366.38,87420.75532,0.30,0.08,940.75,-0.43,367.14,367.73,362.94
03/09/11,366.25,96420.93522,-0.12,-0.03,940.44,-0.46,366.74,368.46,365.65
03/10/11,362.14,93673.91646,-4.11,-1.12,929.90,-1.58,363.39,364.54,360.98
03/11/11,359.07,97563.67237,-3.08,-0.85,922.00,-2.41,358.99,360.44,358.27
03/14/11,356.32,98473.31719,-2.74,-0.76,914.96,-3.16,357.24,359.32,355.54
03/15/11,348.09,183770.2821,-8.23,-2.31,893.81,-5.40,349.80,351.41,343.93
03/16/11,343.20,129347.2953,-4.89,-1.40,881.26,-6.72,350.54,350.91,343.20
03/17/11,349.26,102649.9922,6.05,1.76,896.81,-5.08,345.30,350.07,344.55
03/18/11,350.41,160991.9244,1.15,0.33,899.77,-4.77,351.43,353.26,350.05
03/21/11,356.70,93728.1222,6.29,1.80,915.92,-3.06,355.39,356.96,354.31
03/22/11,356.38,75899.36713,-0.32,-0.09,915.10,-3.14,357.10,357.97,355.36
03/23/11,359.74,67827.2561,3.36,0.94,923.74,-2.23,354.95,359.74,354.95
03/24/11,363.39,81206.79742,3.65,1.01,933.10,-1.24,359.52,363.77,358.59
03/25/11,364.65,57783.73104,1.26,0.35,936.34,-0.89,365.31,365.40,363.46
03/28/11,364.57,58492.2612,-0.08,-0.02,936.13,-0.92,364.57,364.57,364.57
03/29/11,365.91,64762.1038,1.34,0.37,939.56,-0.55,364.61,365.94,362.90
03/30/11,367.87,95117.11658,1.96,0.54,944.60,-0.02,368.99,369.07,366.89
03/31/11,365.62,86491.91145,-2.25,-0.61,938.82,-0.63,368.22,368.74,365.62
04/01/11,369.45,73464.0254,3.83,1.05,948.66,0.41,367.47,369.61,366.70
04/04/11,369.01,53988.4966,-0.44,-0.12,950.28,0.58,368.39,370.36,367.72
04/05/11,368.96,60081.08048,-0.06,-0.01,950.14,0.57,369.22,369.86,367.53
04/06/11,369.64,62993.30757,0.68,0.18,951.89,0.75,370.16,371.10,368.54
04/07/11,367.39,70402.55577,-2.25,-0.61,946.09,0.14,370.02,370.89,367.39
04/08/11,366.94,59157.644,-0.45,-0.12,947.50,0.29,368.10,369.16,366.10
04/11/11,366.47,44066.68555,-0.48,-0.13,946.27,0.16,366.45,367.81,366.31
04/12/11,360.77,64181.94768,-5.69,-1.55,931.57,-1.40,364.09,365.63,359.66
04/13/11,362.76,53955.68603,1.99,0.55,936.71,-0.86,361.56,365.33,361.01
04/14/11,359.48,78832.11811,-3.29,-0.91,928.23,-1.75,361.38,361.45,358.23
04/15/11,359.00,75059.84416,-0.48,-0.13,926.99,-1.88,359.93,360.51,357.45
04/18/11,352.68,101851.6947,-6.32,-1.76,910.67,-3.61,359.06,359.56,350.79
04/19/11,353.17,63977.71344,0.49,0.14,911.95,-3.48,353.87,354.79,352.75
04/20/11,359.87,73388.8442,6.70,1.90,929.55,-1.61,356.13,360.19,356.13
04/21/11,359.01,117376.8069,-0.86,-0.24,928.03,-1.77,360.27,360.57,358.36
04/26/11,359.55,74197.23476,0.54,0.15,931.08,-1.45,357.43,360.10,357.28
04/27/11,359.71,84805.27526,0.16,0.05,932.69,-1.28,359.42,361.14,357.11
04/28/11,359.49,81994.95329,-0.23,-0.06,932.10,-1.34,360.62,361.51,358.02
04/29/11,359.94,46761.20686,0.45,0.13,934.70,-1.07,358.15,359.94,357.90
05/02/11,361.56,45566.23787,1.62,0.45,939.44,-0.57,362.26,363.31,361.42
05/03/11,360.42,67790.03999,-1.14,-0.31,936.48,-0.88,360.65,361.53,359.11
05/04/11,355.91,81752.07145,-4.51,-1.25,924.76,-2.12,359.29,361.17,355.03
05/05/11,354.82,79602.5339,-1.09,-0.31,924.26,-2.17,355.64,357.40,353.11
05/06/11,359.12,77280.61613,4.31,1.21,935.48,-0.99,355.07,359.71,353.51
05/09/11,355.93,79876.76812,-3.20,-0.89,927.40,-1.84,358.12,359.45,354.40
05/10/11,361.05,112919.7157,5.13,1.44,940.77,-0.43,356.77,361.64,356.28
05/11/11,360.55,103198.2343,-0.50,-0.14,942.26,-0.27,361.48,363.11,360.14
05/12/11,357.52,106540.2154,-3.03,-0.84,934.65,-1.07,357.51,357.77,355.11
05/13/11,354.86,75707.54887,-2.65,-0.74,927.72,-1.81,358.89,358.96,354.34
05/16/11,352.30,85365.05408,-2.56,-0.72,921.29,-2.49,352.44,353.19,349.21
05/17/11,347.72,73623.51842,-4.58,-1.30,909.31,-3.76,350.62,352.70,347.72
05/18/11,349.10,72383.74536,1.38,0.40,912.91,-3.37,350.32,350.50,346.67
05/19/11,350.84,71913.91804,1.74,0.50,917.45,-2.89,350.66,352.29,348.40
05/20/11,348.24,92742.37549,-2.59,-0.74,911.05,-3.57,351.07,352.48,346.46
05/23/11,342.46,92698.45697,-5.78,-1.66,895.93,-5.17,344.62,344.62,341.84
05/24/11,343.20,72497.6201,0.74,0.22,897.87,-4.97,342.77,344.79,342.48
05/25/11,344.91,73430.03321,1.71,0.50,902.34,-4.49,340.82,345.73,340.33
05/26/11,344.47,74618.72865,-0.45,-0.13,901.18,-4.62,345.91,346.78,343.38
05/27/11,346.06,83273.40344,1.59,0.46,905.34,-4.18,347.20,348.33,344.77
05/30/11,346.20,23979.59389,0.14,0.04,905.72,-4.14,345.77,347.34,345.47
05/31/11,349.44,70485.8562,3.23,0.93,914.17,-3.24,348.80,351.10,348.56
06/01/11,345.95,69255.92024,-3.49,-1.00,905.04,-4.21,350.29,350.38,344.29
06/02/11,340.64,47277.86727,-5.30,-1.53,891.17,-5.68,343.64,343.68,340.64
06/03/11,340.24,60223.79022,-0.40,-0.12,890.13,-5.79,341.47,341.91,337.35
06/06/11,339.18,53490.89934,-1.07,-0.31,887.34,-6.08,339.02,340.48,338.16
06/07/11,338.93,61039.30065,-0.25,-0.07,886.68,-6.15,339.18,341.16,338.37
06/08/11,335.65,64911.58962,-3.27,-0.97,878.12,-7.06,337.63,338.31,334.24
06/09/11,338.04,73832.64478,2.39,0.71,884.36,-6.40,335.43,338.44,334.01
06/10/11,333.83,75573.08981,-4.22,-1.25,873.34,-7.56,337.46,338.21,333.08
06/13/11,334.03,38323.8434,0.20,0.06,873.86,-7.51,334.04,335.45,333.33
