Date,EUR3MTD156N
01/03/2011,1.04938
02/03/2011,1.0475
03/03/2011,1.04813
04/03/2011,1.11813
07/03/2011,1.12438
08/03/2011,1.12938
09/03/2011,1.12938
10/03/2011,1.12813
11/03/2011,1.12563
14/03/2011,1.12625
15/03/2011,1.12
16/03/2011,1.12
17/03/2011,1.12125
18/03/2011,1.1225
21/03/2011,1.12688
22/03/2011,1.13625
23/03/2011,1.14063
24/03/2011,1.14375
25/03/2011,1.1525
28/03/2011,1.16
29/03/2011,1.1675
30/03/2011,1.175
31/03/2011,1.18
01/04/2011,1.19
04/04/2011,1.20313
05/04/2011,1.2075
06/04/2011,1.21938
07/04/2011,1.22875
08/04/2011,1.24313
11/04/2011,1.255
12/04/2011,1.2625
13/04/2011,1.27313
14/04/2011,1.27688
15/04/2011,1.28125
18/04/2011,1.28688
19/04/2011,1.29125
20/04/2011,1.30313
21/04/2011,1.3175
22/04/2011,.
25/04/2011,.
26/04/2011,1.32125
27/04/2011,1.32813
28/04/2011,1.33875
29/04/2011,1.345
02/05/2011,1.35125
03/05/2011,1.35625
04/05/2011,1.36625
05/05/2011,1.37938
06/05/2011,1.37063
09/05/2011,1.3775
10/05/2011,1.38063
11/05/2011,1.37688
12/05/2011,1.37313
13/05/2011,1.37438
16/05/2011,1.3775
17/05/2011,1.37813
18/05/2011,1.37875
19/05/2011,1.38438
20/05/2011,1.38625
23/05/2011,1.38375
24/05/2011,1.38313
25/05/2011,1.38438
26/05/2011,1.38125
27/05/2011,1.37938
30/05/2011,1.38
31/05/2011,1.38188
01/06/2011,1.38188
02/06/2011,1.38313
03/06/2011,1.38313
06/06/2011,1.38313
07/06/2011,1.39
08/06/2011,1.40063
09/06/2011,1.40688
10/06/2011,1.41313
13/06/2011,1.41813
14/06/2011,1.42188
15/06/2011,1.42875
16/06/2011,1.4375
17/06/2011,1.45
20/06/2011,1.45938
21/06/2011,1.46563
22/06/2011,1.46813
23/06/2011,1.46938
24/06/2011,1.47188
27/06/2011,1.4675
28/06/2011,1.4725
29/06/2011,1.47938
