Date,Bid,Ask,Mid,Change,% Change,Cumulative Change %,High,Low
03/01/11,0.008811,0.008817,0.008814,,,,0.008814,0.008814
03/02/11,0.008819,0.008825,0.008822,0.00,0.10,0.10,0.008822,0.008822
03/03/11,0.008706,0.008712,0.008709,0.00,-1.28,-1.18,0.008709,0.008709
03/04/11,0.008675,0.008680,0.008677,0.00,-0.37,-1.55,0.008677,0.008677
03/07/11,0.008696,0.008702,0.008699,0.00,0.25,-1.30,0.008699,0.008699
03/08/11,0.008698,0.008703,0.008700,0.00,0.02,-1.29,0.008700,0.008700
03/09/11,0.008684,0.008689,0.008687,0.00,-0.16,-1.44,0.008687,0.008687
03/10/11,0.008723,0.008729,0.008726,0.00,0.45,-1.00,0.008726,0.008726
03/11/11,0.008829,0.008834,0.008832,0.00,1.21,0.21,0.008832,0.008832
03/14/11,0.008760,0.008767,0.008764,0.00,-0.77,-0.57,0.008764,0.008764
03/15/11,0.008854,0.008861,0.008857,0.00,1.07,0.49,0.008857,0.008857
03/16/11,0.008953,0.008960,0.008957,0.00,1.13,1.62,0.008957,0.008957
03/17/11,0.009053,0.009060,0.009057,0.00,1.11,2.76,0.009057,0.009057
03/18/11,0.008715,0.008721,0.008718,0.00,-3.74,-1.09,0.008718,0.008718
03/21/11,0.008688,0.008693,0.008690,0.00,-0.32,-1.40,0.008690,0.008690
03/22/11,0.008684,0.008689,0.008687,0.00,-0.04,-1.44,0.008687,0.008687
03/23/11,0.008745,0.008751,0.008748,0.00,0.70,-0.75,0.008748,0.008748
03/24/11,0.008709,0.008716,0.008712,0.00,-0.40,-1.15,0.008712,0.008712
03/25/11,0.008711,0.008718,0.008715,0.00,0.02,-1.12,0.008715,0.008715
03/28/11,0.008672,0.008678,0.008675,0.00,-0.45,-1.57,0.008675,0.008675
03/29/11,0.008629,0.008634,0.008631,0.00,-0.51,-2.07,0.008631,0.008631
03/30/11,0.008539,0.008546,0.008543,0.00,-1.02,-3.07,0.008543,0.008543
03/31/11,0.008499,0.008506,0.008502,0.00,-0.47,-3.53,0.008502,0.008502
04/01/11,0.008379,0.008384,0.008381,0.00,-1.42,-4.91,0.008381,0.008381
