Date,Bid,Ask,Mid,Change,% Change,Cumulative Change %,High,Low
03/01/11,0.104029,0.104211,0.104120,,,,0.104120,0.104120
03/02/11,0.104978,0.105161,0.105069,0.00,0.91,0.91,0.105069,0.105069
03/03/11,0.103711,0.103885,0.103798,0.00,-1.21,-0.31,0.103798,0.103798
03/04/11,0.103604,0.103786,0.103695,0.00,-0.10,-0.41,0.103695,0.103695
03/07/11,0.103970,0.104151,0.104060,0.00,0.35,-0.06,0.104060,0.104060
03/08/11,0.104256,0.104439,0.104347,0.00,0.28,0.22,0.104347,0.104347
03/09/11,0.104410,0.104594,0.104502,0.00,0.15,0.37,0.104502,0.104502
03/10/11,0.104865,0.105049,0.104957,0.00,0.44,0.80,0.104957,0.104957
03/11/11,0.104519,0.104693,0.104607,0.00,-0.33,0.47,0.104607,0.104607
03/14/11,0.104338,0.104523,0.104431,0.00,-0.17,0.30,0.104431,0.104431
03/15/11,0.102660,0.102837,0.102749,0.00,-1.61,-1.32,0.102749,0.102749
03/16/11,0.102378,0.102554,0.102466,0.00,-0.27,-1.59,0.102466,0.102466
03/17/11,0.100786,0.100959,0.100873,0.00,-1.56,-3.12,0.100873,0.100873
03/18/11,0.101090,0.101263,0.101176,0.00,0.30,-2.83,0.101176,0.101176
03/21/11,0.101593,0.101763,0.101677,0.00,0.50,-2.35,0.101677,0.101677
03/22/11,0.102057,0.102226,0.102142,0.00,0.46,-1.90,0.102142,0.102142
03/23/11,0.101974,0.102144,0.102059,0.00,-0.08,-1.98,0.102059,0.102059
03/24/11,0.102647,0.102827,0.102737,0.00,0.66,-1.33,0.102737,0.102737
03/25/11,0.103232,0.103413,0.103322,0.00,0.57,-0.77,0.103322,0.103322
03/28/11,0.103132,0.103312,0.103222,0.00,-0.10,-0.86,0.103222,0.103222
03/29/11,0.103558,0.103733,0.103646,0.00,0.41,-0.46,0.103646,0.103646
03/30/11,0.104082,0.104266,0.104174,0.00,0.51,0.05,0.104174,0.104174
03/31/11,0.104157,0.104343,0.104250,0.00,0.07,0.12,0.104250,0.104250
04/01/11,0.104965,0.105152,0.105059,0.00,0.78,0.90,0.105059,0.105059
