Date,Last,Settlement Price,Change,% Change,Bid,Ask,Open Interest,CVol
3/1/2011,28703.00,28811.00,,,"28,810.00","28,812.00","212,088.00",34375
3/2/2011,28690.00,28744.00,-67,-0.23,"28,740.00","28,748.00","212,335.00",35769
3/3/2011,29090.00,29174.00,430,1.5,"29,173.00","29,175.00","212,317.00",36085
3/4/2011,29030.00,29153.00,-21,-0.07,"29,146.00","29,160.00","213,315.00",27391
3/7/2011,29172.00,29205.00,52,0.18,"29,201.00","29,209.00","210,735.00",41998
3/8/2011,28811.00,28730.00,-475,-1.63,"28,729.00","28,730.00","205,896.00",49585
3/9/2011,28750.00,28650.00,-80,-0.28,"28,645.00","28,654.00","197,794.00",42864
3/10/2011,27757.00,27720.00,-930,-3.25,"27,715.00","27,725.00","170,825.00",116106
3/11/2011,27961.00,28018.00,298,1.08,"28,011.00","28,025.00","146,794.00",105881
3/14/2011,27775.00,27755.00,-263,-0.94,"27,750.00","27,760.00","110,814.00",125891
3/15/2011,27185.00,27091.00,-664,-2.39,"27,086.00","27,095.00","79,565.00",146320
3/16/2011,27315.00,27363.00,272,1,"27,355.00","27,370.00","46,154.00",130232
3/17/2011,27490.00,27489.00,126,0.46,"27,489.00","27,489.00","2,010.00",55238
3/18/2011,27635.00,27692.00,203,0.74,"27,685.00","27,698.00","195,194.00",35493
3/22/2011,27889.00,27933.00,241,0.87,"27,930.00","27,935.00","195,706.00",33315
3/23/2011,28344.00,28288.00,355,1.27,"28,280.00","28,295.00","195,657.00",30627
3/24/2011,28720.00,28778.00,490,1.73,"28,776.00","28,780.00","195,593.00",32220
3/25/2011,28650.00,28677.00,-101,-0.35,"28,673.00","28,680.00","198,055.00",35329
3/28/2011,28525.00,28450.00,-227,-0.79,"28,449.00","28,450.00","199,779.00",24719
3/29/2011,28940.00,28843.00,393,1.38,"28,841.00","28,845.00","198,976.00",31406
3/30/2011,29291.00,29321.00,478,1.66,"29,320.00","29,321.00","193,790.00",41194
3/31/2011,29207.00,29250.00,-71,-0.24,"29,245.00","29,254.00","193,000.00",34815
4/1/2011,29500.00,29393.00,143,0.49,"29,390.00","29,395.00","192,153.00",21432
4/4/2011,29541.00,29531.00,138,0.47,"29,530.00","29,532.00","192,071.00",23450
4/5/2011,29760.00,29706.00,175,0.59,"29,701.00","29,710.00","191,165.00",26205
4/6/2011,29885.00,29882.00,176,0.59,"29,880.00","29,883.00","190,296.00",31230
4/7/2011,29610.00,29592.00,-290,-0.97,"29,585.00","29,599.00","190,044.00",28923
4/8/2011,29858.00,29855.00,263,0.89,"29,850.00","29,860.00","189,020.00",28849
4/11/2011,29880.00,29843.00,-12,-0.04,"29,841.00","29,844.00","188,107.00",14660
4/12/2011,29275.00,29343.00,-500,-1.68,"29,341.00","29,345.00","187,790.00",24214
4/13/2011,29366.00,29399.00,56,0.19,"29,395.00","29,402.00","186,499.00",23316
4/14/2011,29430.00,29454.00,55,0.19,"29,448.00","29,460.00","184,910.00",34618
4/15/2011,29231.00,29206.00,-248,-0.84,"29,201.00","29,210.00","183,764.00",22427
4/18/2011,28250.00,28320.00,-886,-3.03,"28,315.00","28,325.00","186,022.00",54729
4/19/2011,28730.00,28826.00,506,1.79,"28,821.00","28,830.00","184,583.00",39020
4/20/2011,29450.00,29503.00,677,2.35,"29,501.00","29,505.00","183,799.00",33083
4/21/2011,29734.00,29653.00,150,0.51,"29,650.00","29,655.00","182,085.00",29571
4/26/2011,29649.00,29629.00,-24,-0.08,"29,625.00","29,632.00","182,085.00",19146
4/28/2011,29650.00,29628.00,-1,0,"29,625.00","29,630.00","182,533.00",28533
4/29/2011,29865.00,29715.00,87,0.29,"29,710.00","29,720.00","182,051.00",12848
5/3/2011,29318.00,29198.00,-517,-1.74,"29,195.00","29,200.00","181,841.00",35005
5/4/2011,28719.00,28701.00,-497,-1.7,"28,695.00","28,707.00","185,891.00",50673
5/5/2011,28355.00,28442.00,-259,-0.9,"28,438.00","28,446.00","188,086.00",55958
5/6/2011,28885.00,28829.00,387,1.36,"28,820.00","28,838.00","188,218.00",39653
5/9/2011,28474.00,28495.00,-334,-1.16,"28,490.00","28,500.00","189,618.00",35256
5/10/2011,28990.00,29023.00,528,1.85,"29,021.00","29,025.00","189,772.00",35393
5/11/2011,28890.00,28933.00,-90,-0.31,"28,927.00","28,938.00","189,356.00",44077
5/12/2011,28650.00,28571.00,-362,-1.25,"28,566.00","28,576.00","192,004.00",44507
5/13/2011,28690.00,28821.00,250,0.88,"28,817.00","28,825.00","191,522.00",34014
5/16/2011,29109.00,29063.00,242,0.84,"29,061.00","29,065.00","191,714.00",35421
5/17/2011,28630.00,28668.00,-395,-1.36,"28,666.00","28,670.00","190,512.00",35892
5/19/2011,28770.00,28810.00,142,0.5,"28,806.00","28,814.00","189,926.00",29406
5/20/2011,28725.00,28690.00,-120,-0.42,"28,685.00","28,694.00","189,460.00",33790
5/23/2011,28160.00,28162.00,-528,-1.84,"28,160.00","28,164.00","193,470.00",48748
5/24/2011,28570.00,28582.00,420,1.49,"28,580.00","28,584.00","192,278.00",31207
5/25/2011,28730.00,28624.00,42,0.15,"28,623.00","28,625.00","193,360.00",39076
5/26/2011,28890.00,28890.00,266,0.93,"28,885.00","28,895.00","192,206.00",29513
5/27/2011,29235.00,29246.00,356,1.23,"29,241.00","29,250.00","187,832.00",33192
5/30/2011,29195.00,29207.00,-39,-0.13,"29,204.00","29,210.00","187,091.00",13516
5/31/2011,29290.00,29356.00,149,0.51,"29,351.00","29,360.00","185,245.00",49503
6/1/2011,29174.00,29130.00,-226,-0.77,"29,125.00","29,135.00","185,159.00",33268
6/2/2011,28505.00,28608.00,-522,-1.79,"28,605.00","28,610.00","186,748.00",50385
6/3/2011,28340.00,28304.00,-304,-1.06,"28,300.00","28,308.00","192,753.00",54973
6/6/2011,28385.00,28304.00,,,"28,300.00","28,308.00","191,400.00",46895
6/7/2011,28450.00,28537.00,233,0.82,"28,533.00","28,540.00","171,981.00",67474
6/8/2011,28140.00,28211.00,-326,-1.14,"28,207.00","28,214.00","152,315.00",67384
6/9/2011,28320.00,28348.00,137,0.49,"28,345.00","28,350.00","141,385.00",42674
6/10/2011,27779.00,27769.00,-579,-2.04,"27,768.00","27,769.00","115,424.00",109645
6/13/2011,27845.00,27834.00,65,0.23,"27,833.00","27,835.00","67,120.00",151522
6/14/2011,27934.00,27927.00,93,0.33,"27,925.00","27,929.00","35,345.00",109699
6/15/2011,28003.00,28004.00,77,0.28,"28,004.00","28,004.00",392,25196
6/17/2011,27332.00,27342.00,-662,-2.36,"27,335.00","27,349.00","194,852.00",38092
6/20/2011,27375.00,27326.00,-16,-0.06,"27,321.00","27,330.00","195,131.00",29795
6/21/2011,27715.00,27650.00,324,1.19,"27,640.00","27,659.00","197,649.00",32856
6/22/2011,27431.00,27474.00,-176,-0.64,"27,469.00","27,478.00","199,646.00",39250
6/23/2011,27040.00,27023.00,-451,-1.64,"27,020.00","27,025.00","202,504.00",35376
6/24/2011,27410.00,27448.00,425,1.57,"27,442.00","27,454.00","202,033.00",42593
6/27/2011,27663.00,27692.00,244,0.89,"27,685.00","27,698.00","200,020.00",29807
6/28/2011,28010.00,27993.00,301,1.09,"27,990.00","27,995.00","197,748.00",35003
6/29/2011,28435.00,28435.00,442,1.58,"28,430.00","28,439.00","194,346.00",39423
6/30/2011,28605.00,28536.00,101,0.36,"28,531.00","28,540.00","187,868.00",40236
7/1/2011,28655.00,28617.00,81,0.28,"28,615.00","28,619.00","189,045.00",32955
7/4/2011,28795.00,28778.00,161,0.56,"28,775.00","28,780.00","189,709.00",20492
7/5/2011,28930.00,28924.00,146,0.51,"28,921.00","28,927.00","188,160.00",34205
7/6/2011,28850.00,28787.00,-137,-0.47,"28,784.00","28,790.00","187,439.00",32702
7/7/2011,28984.00,28978.00,191,0.66,"28,975.00","28,980.00","190,142.00",33810
7/8/2011,28639.00,28627.00,-351,-1.21,"28,623.00","28,630.00","190,430.00",37774
7/11/2011,28525.00,28461.00,-166,-0.58,"28,455.00","28,467.00","191,273.00",30003
7/12/2011,28600.00,28606.00,145,0.51,"28,601.00","28,610.00","190,300.00",56919
7/13/2011,28960.00,28935.00,329,1.15,"28,930.00","28,939.00","189,260.00",37520
7/14/2011,28909.00,28841.00,-94,-0.32,"28,840.00","28,842.00","186,076.00",33480
7/15/2011,28960.00,28886.00,45,0.16,"28,871.00","28,900.00","186,531.00",29699
7/18/2011,28550.00,28470.00,-416,-1.44,"28,467.00","28,472.00","185,768.00",31227
7/19/2011,28659.00,28671.00,201,0.71,"28,666.00","28,675.00","184,113.00",28452
7/20/2011,28685.00,28641.00,-30,-0.1,"28,636.00","28,645.00","181,198.00",31417
7/21/2011,28680.00,28764.00,123,0.43,"28,762.00","28,765.00","183,286.00",46630
7/22/2011,28622.00,28620.00,-144,-0.5,"28,619.00","28,620.00","183,075.00",35124
7/25/2011,28676.00,28696.00,76,0.27,"28,692.00","28,700.00","184,036.00",27065
7/26/2011,28445.00,28449.00,-247,-0.86,"28,447.00","28,451.00","184,199.00",31180
7/27/2011,28140.00,28138.00,-311,-1.09,"28,135.00","28,140.00","185,330.00",38612
7/28/2011,28075.00,28025.00,-113,-0.4,"28,021.00","28,028.00","187,153.00",37650
7/29/2011,27779.00,27719.00,-306,-1.09,"27,717.00","27,720.00","187,477.00",43079
8/1/2011,27760.00,27843.00,124,0.45,"27,840.00","27,845.00","190,508.00",37470
8/2/2011,27376.00,27395.00,-448,-1.61,"27,390.00","27,399.00","194,944.00",52524
8/3/2011,27005.00,27050.00,-345,-1.26,"27,049.00","27,050.00","200,651.00",58620
8/4/2011,26050.00,26188.00,-862,-3.19,"26,180.00","26,196.00","209,185.00",79385
8/5/2011,25837.00,25816.00,-372,-1.42,"25,812.00","25,820.00","209,842.00",78260
8/8/2011,25200.00,25068.00,-748,-2.9,"25,065.00","25,070.00","211,784.00",54591
8/10/2011,25230.00,25293.00,225,0.9,"25,285.00","25,300.00","215,052.00",70026
8/11/2011,26175.00,26194.00,901,3.56,"26,190.00","26,198.00","215,598.00",67992
8/12/2011,26675.00,26476.00,282,1.08,"26,471.00","26,481.00","212,794.00",58422
8/15/2011,26831.00,26906.00,430,1.62,"26,901.00","26,910.00","217,033.00",44797
