Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
03/01/11,"10,754.03",,,,"14,673.27",,"10,676.24","10,754.03","10,672.91"
03/02/11,"10,492.38",,-261.65,-2.43,"14,316.26",-2.43,"10,609.28","10,629.50","10,492.38"
03/03/11,"10,586.02",,93.64,0.89,"14,444.03",-1.56,"10,529.77","10,593.34","10,522.40"
03/04/11,"10,693.66",,107.64,1.02,"14,590.90",-0.56,"10,730.91","10,768.43","10,664.37"
03/07/11,"10,505.02",,-188.64,-1.76,"14,333.51",-2.32,"10,626.97","10,626.97","10,472.51"
03/08/11,"10,525.19",,20.17,0.19,"14,361.03",-2.13,"10,513.08","10,565.10","10,509.23"
03/09/11,"10,589.50",,64.31,0.61,"14,448.78",-1.53,"10,607.23","10,662.07","10,563.82"
03/10/11,"10,434.38",,-155.12,-1.46,"14,237.13",-2.97,"10,544.13","10,549.17","10,410.10"
03/11/11,"10,254.43",,-179.95,-1.72,"13,991.60",-4.65,"10,298.64","10,378.55","10,254.43"
03/14/11,"9,620.49",,-633.94,-6.18,"13,126.62",-10.54,"10,044.17","10,049.92","9,578.65"
03/15/11,"8,605.15",,"-1,015.34",-10.55,"11,741.25",-19.98,"9,441.66","9,441.66","8,227.63"
03/16/11,"9,093.72",,488.57,5.68,"12,407.88",-15.44,"8,767.20","9,168.51","8,763.95"
03/17/11,"8,962.67",,-131.05,-1.44,"12,229.07",-16.66,"8,913.35","9,093.61","8,639.56"
03/18/11,"9,206.75",,244.08,2.72,"12,562.10",-14.39,"9,083.95","9,275.60","9,073.25"
03/22/11,"9,608.32",,401.57,4.36,"13,110.02",-10.65,"9,403.05","9,625.03","9,395.85"
03/23/11,"9,449.47",,-158.85,-1.65,"12,893.28",-12.13,"9,590.38","9,592.40","9,387.95"
03/24/11,"9,435.01",,-14.46,-0.15,"12,873.55",-12.27,"9,479.77","9,509.85","9,418.71"
03/25/11,"9,536.13",,101.12,1.07,"13,011.85",-11.32,"9,565.49","9,569.71","9,469.37"
03/28/11,"9,478.53",,-57.60,-0.60,"12,932.00",-11.87,"9,541.76","9,541.76","9,405.20"
03/29/11,"9,459.08",,-19.45,-0.21,"13,021.47",-11.26,"9,348.60","9,502.23","9,317.38"
03/30/11,"9,708.79",,249.71,2.64,"13,365.22",-8.91,"9,489.51","9,708.79","9,479.03"
03/31/11,"9,755.10",,46.31,0.48,"13,429.08",-8.48,"9,765.28","9,765.81","9,658.64"
04/01/11,"9,708.39",,-46.71,-0.48,"13,364.78",-8.92,"9,757.28","9,822.06","9,698.60"
04/04/11,"9,718.89",,10.50,0.11,"13,379.23",-8.82,"9,773.91","9,808.60","9,718.89"
04/05/11,"9,615.55",,-103.34,-1.06,"13,236.97",-9.79,"9,732.26","9,732.26","9,566.05"
04/06/11,"9,584.37",,-31.18,-0.32,"13,194.05",-10.08,"9,668.11","9,671.46","9,562.16"
04/07/11,"9,590.93",,6.56,0.07,"13,203.08",-10.02,"9,652.65","9,687.18","9,578.47"
04/08/11,"9,768.08",,177.15,1.85,"13,447.50",-8.35,"9,586.17","9,804.28","9,536.68"
04/11/11,"9,719.70",,-48.38,-0.50,"13,380.90",-8.81,"9,731.32","9,775.60","9,700.75"
04/12/11,"9,555.26",,-164.44,-1.69,"13,154.52",-10.35,"9,603.50","9,603.64","9,513.27"
04/13/11,"9,641.18",,85.92,0.90,"13,272.80",-9.54,"9,516.50","9,655.83","9,516.50"
04/14/11,"9,653.92",,12.74,0.13,"13,290.34",-9.42,"9,579.79","9,676.97","9,553.75"
04/15/11,"9,591.52",,-62.40,-0.65,"13,204.44",-10.01,"9,646.22","9,651.96","9,577.96"
04/18/11,"9,556.65",,-34.87,-0.36,"13,156.44",-10.34,"9,593.41","9,608.92","9,539.03"
04/19/11,"9,441.03",,-115.62,-1.21,"12,997.27",-11.42,"9,448.65","9,478.87","9,405.19"
04/20/11,"9,606.82",,165.79,1.76,"13,225.51",-9.87,"9,536.79","9,631.00","9,519.36"
04/21/11,"9,685.77",,78.95,0.82,"13,334.20",-9.13,"9,686.27","9,725.12","9,643.92"
04/22/11,"9,682.21",,-3.56,-0.04,"13,329.30",-9.16,"9,623.00","9,732.63","9,611.38"
04/25/11,"9,671.96",,-10.25,-0.11,"13,315.19",-9.26,"9,705.90","9,748.40","9,657.24"
04/26/11,"9,558.69",,-113.27,-1.17,"13,159.25",-10.32,"9,627.43","9,627.43","9,536.51"
04/27/11,"9,691.84",,133.15,1.39,"13,342.55",-9.07,"9,631.53","9,728.03","9,630.37"
04/28/11,"9,849.74",,157.90,1.63,"13,559.93",-7.59,"9,749.36","9,849.74","9,712.58"
05/02/11,"10,004.20",,154.46,1.57,"13,772.57",-6.14,"9,964.39","10,017.47","9,936.27"
05/06/11,"9,859.20",,-145.00,-1.45,"13,572.95",-7.50,"9,851.15","9,876.10","9,782.66"
05/09/11,"9,794.38",,-64.82,-0.66,"13,483.71",-8.11,"9,881.67","9,897.88","9,776.74"
05/10/11,"9,818.76",,24.38,0.25,"13,517.27",-7.88,"9,804.27","9,853.13","9,755.93"
05/11/11,"9,864.26",,45.50,0.46,"13,579.91",-7.45,"9,912.48","9,929.04","9,842.67"
